ego_wp_x,ego_wp_y,oppo_wp_x,oppo_wp_y
88.373046875,20.00994300842285,92.38520050048828,99.98994445800781
88.3731918334961,20.999940872192383,92.38505554199219,98.99994659423828
88.37340545654297,22.39994239807129,92.38484191894531,97.59994506835938
88.37361907958984,23.799942016601562,92.38462829589844,96.19994354248047
88.37383270263672,25.199941635131836,92.38441467285156,94.79994201660156
88.3740463256836,26.59994125366211,92.38420104980469,93.39994812011719
88.37425994873047,27.999940872192383,92.38398742675781,91.99994659423828
88.37447357177734,29.39994239807129,92.38377380371094,90.59994506835938
88.37468719482422,30.799942016601562,92.38356018066406,89.19994354248047
88.3749008178711,32.19994354248047,92.38335418701172,87.79994201660156
88.37511444091797,33.599945068359375,92.38314056396484,86.39994812011719
88.37532043457031,34.999942779541016,92.38292694091797,84.99994659423828
88.37553405761719,36.39994430541992,92.3827133178711,83.59994506835938
88.37574768066406,37.79994201660156,92.38249969482422,82.19994354248047
88.37596130371094,39.19994354248047,92.38228607177734,80.79994201660156
88.37617492675781,40.599945068359375,92.38207244873047,79.39994812011719
88.37638854980469,41.999942779541016,92.3818588256836,77.99994659423828
88.37660217285156,43.399940490722656,92.38164520263672,76.59994506835938
88.37681579589844,44.79994201660156,92.38143157958984,75.19994354248047
88.37702941894531,46.19994354248047,92.3812255859375,73.79994201660156
88.37702941894531,46.19994354248047,92.38101196289062,72.39994812011719
88.37724304199219,47.59994125366211,92.38079833984375,70.99994659423828
88.37724304199219,47.59994125366211,92.38058471679688,69.59994506835938
88.37745666503906,49.00249481201172,92.38037109375,68.19994354248047
88.37744903564453,48.999942779541016,92.38015747070312,66.79994201660156
88.51451873779297,50.70992660522461,92.38015747070312,66.7999496459961
88.3776626586914,50.399940490722656,92.37994384765625,65.39994049072266
88.91744995117188,52.374794006347656,92.37994384765625,65.39994049072266
88.37787628173828,51.79994201660156,92.38752746582031,64.11779022216797
89.57627868652344,53.955955505371094,92.37973022460938,63.99993896484375
88.37808990478516,53.19994354248047,92.54779052734375,63.16455078125
90.47473907470703,55.414344787597656,92.37952423095703,62.59994125366211
88.37830352783203,54.59994125366211,92.90840911865234,62.267723083496094
91.60328674316406,56.72380828857422,92.37931060791016,61.19994354248047
88.37850952148438,55.999942779541016,93.45267486572266,61.468894958496094
92.96732330322266,57.83604049682617,92.37909698486328,59.79994201660156
88.37873077392578,57.399940490722656,94.17223358154297,60.78944778442383
94.50946044921875,58.68423080444336,92.3788833618164,58.399940490722656
88.37894439697266,58.79994201660156,95.05741119384766,60.21642303466797
96.1792221069336,59.2406120300293,92.378662109375,56.999942779541016
88.37915802001953,60.19994354248047,96.02764892578125,59.80345916748047
97.92190551757812,59.48695373535156,92.37844848632812,55.59994125366211
88.3793716430664,61.59994125366211,97.05427551269531,59.56277084350586
99.42159271240234,59.498905181884766,92.37824249267578,54.19994354248047
88.37958526611328,62.999942779541016,98.16299438476562,59.499053955078125
100.82159423828125,59.49873352050781,92.3780288696289,52.79994201660156
88.37979125976562,64.39994049072266,99.56298828125,59.49888229370117
102.22193145751953,59.498558044433594,92.37781524658203,51.399940490722656
88.3800048828125,65.79994201660156,100.9629898071289,59.498714447021484
103.6219253540039,59.498390197753906,92.37760162353516,49.999942779541016
88.38021850585938,67.19994354248047,102.36328125,59.49854278564453
105.02192687988281,59.49821853637695,92.37738800048828,48.59994125366211
88.38043212890625,68.59994506835938,103.7632827758789,59.49837112426758
106.42192840576172,59.498046875,92.37718200683594,47.19994354248047
88.38064575195312,69.99994659423828,105.16328430175781,59.498199462890625
107.82192993164062,59.49787902832031,92.37696838378906,45.79994201660156
88.380859375,71.39994812011719,106.56327819824219,59.49803161621094
109.22193145751953,59.49770736694336,92.37675476074219,44.399940490722656
88.38107299804688,72.79994201660156,107.9632797241211,59.497859954833984
110.6219253540039,59.497535705566406,92.37654113769531,42.99994659423828
88.38128662109375,74.19994354248047,109.36328125,59.49768829345703
112.02192687988281,59.49736404418945,92.37632751464844,41.599945068359375
88.3814926147461,75.59994506835938,110.7632827758789,59.497520446777344
113.42192840576172,59.497196197509766,92.37611389160156,40.19994354248047
88.38170623779297,76.99994659423828,112.16328430175781,59.49734878540039
114.82192993164062,59.49702453613281,92.37590026855469,38.79994201660156
88.38191986083984,78.39994812011719,113.56327819824219,59.49717712402344
116.221923828125,59.49685287475586,92.37568664550781,37.39994430541992
88.38213348388672,79.79994201660156,114.9632797241211,59.497005462646484
117.6219253540039,59.49668502807617,92.37547302246094,35.99994659423828
88.3823471069336,81.19994354248047,116.36328125,59.4968376159668
